( 0 , 8000 , 0 , 0 )
( 0 , 6928.2 , 0 , -4000 )
( 0 , 5656.85 , 0 , -5656.85 )
( 0 , 4000 , 0 , -6928.2 )
( 0 , 2070.55 , 0 , -7727.41 )
( 0 , 9.09495e-13 , 0 , -8000 )
( 0 , -2070.55 , 0 , -7727.41 )
( 0 , -4000 , 0 , -6928.2 )
( 0 , -5656.85 , 0 , -5656.85 )
( 0 , -6928.2 , 0 , -4000 )
( 0 , -7727.41 , 0 , -2070.55 )
( 0 , -8000 , 0 , -1.81899e-12 )
( 0 , -7727.41 , 0 , 2070.55 )
( 0 , -6928.2 , 0 , 4000 )
( 0 , -5656.85 , 0 , 5656.85 )
( 0 , -4000 , 0 , 6928.2 )
( 0 , -2070.55 , 0 , 7727.41 )
( 0 , -2.95586e-12 , 0 , 8000 )
( 0 , 2070.55 , 0 , 7727.41 )
( 0 , 4000 , 0 , 6928.2 )
( 0 , 5656.85 , 0 , 5656.85 )
( 0 , 6928.2 , 0 , 4000 )
( 0 , 7727.41 , 0 , 2070.55 )
( 0 , 8000 , 0 , 3.18323e-12 )
( 0 , 7727.41 , 0 , -2070.55 )
( 0 , 8000 , 0 , 0 )
( 0 , 7727.41 , 2070.55 , 0 )
( 0 , 6928.2 , 4000 , 0 )
( 0 , 5656.85 , 5656.85 , 0 )
( 0 , 4000 , 6928.2 , 0 )
( 0 , 2070.55 , 7727.41 , 0 )
( 0 , 9.09495e-13 , 8000 , 0 )
( 0 , -2070.55 , 7727.41 , 0 )
( 0 , -4000 , 6928.2 , 0 )
( 0 , -5656.85 , 5656.85 , 0 )
( 0 , -6928.2 , 4000 , 0 )
( 0 , -7727.41 , 2070.55 , 0 )
( 0 , -8000 , 1.81899e-12 , 0 )
( 0 , -7727.41 , -2070.55 , 0 )
( 0 , -6928.2 , -4000 , 0 )
( 0 , -5656.85 , -5656.85 , 0 )
( 0 , -4000 , -6928.2 , 0 )
( 0 , -2070.55 , -7727.41 , 0 )
( 0 , -2.95586e-12 , -8000 , 0 )
( 0 , 2070.55 , -7727.41 , 0 )
( 0 , 4000 , -6928.2 , 0 )
( 0 , 5656.85 , -5656.85 , 0 )
( 0 , 6928.2 , -4000 , 0 )
( 0 , 7727.41 , -2070.55 , 0 )
( 0 , 8000 , -3.18323e-12 , 0 )
( 0 , 0 , 8000 , 0 )
( 0 , 0 , 7727.41 , 2070.55 )
( 0 , 0 , 6928.2 , 4000 )
( 0 , 0 , 5656.85 , 5656.85 )
( 0 , 0 , 4000 , 6928.2 )
( 0 , 0 , 2070.55 , 7727.41 )
( 0 , 0 , 9.09495e-13 , 8000 )
( 0 , 0 , -2070.55 , 7727.41 )
( 0 , 0 , -4000 , 6928.2 )
( 0 , 0 , -5656.85 , 5656.85 )
( 0 , 0 , -6928.2 , 4000 )
( 0 , 0 , -7727.41 , 2070.55 )
( 0 , 0 , -8000 , 1.81899e-12 )
( 0 , 0 , -7727.41 , -2070.55 )
( 0 , 0 , -6928.2 , -4000 )
( 0 , 0 , -5656.85 , -5656.85 )
( 0 , 0 , -4000 , -6928.2 )
( 0 , 0 , -2070.55 , -7727.41 )
( 0 , 0 , -2.95586e-12 , -8000 )
( 0 , 0 , 2070.55 , -7727.41 )
( 0 , 0 , 4000 , -6928.2 )
( 0 , 0 , 5656.85 , -5656.85 )
( 0 , 0 , 6928.2 , -4000 )
( 0 , 0 , 7727.41 , -2070.55 )
( 0 , 0 , 8000 , -3.18323e-12 )
